Standard_Number,Description,Label,Catalog,Edition_Date,Type,English?,Category,Topic,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5
102.2,"Standard Method of Test for Surface Burning Characteristics of Flooring, Floor Coverings, And Miscellaneous Materials And Assemblies",Ed. 8,ULC,"June 01, 2018",canulc,True,Standard Method of Test,"Surface Burning Characteristics of Flooring, Floor Coverings, And Miscellaneous Materials And Assemblies",Surface Burning Characteristics of Flooring,Burning Characteristics of Flooring,Miscellaneous Materials And Assemblies,Surface Burning Characteristics,Floor Coverings
102.2,"Standard Method of Test for Surface Burning Characteristics of Flooring, Floor Coverings, And Miscellaneous Materials And Assemblies / Méthode D'Essai Normalisée Caractéristiques De Combustion Superficielle Des Revêtements De Sol Et Des Divers Matériaux Et Assemblages",Ed. 8,ULC,"June 01, 2018",canulc,False,Standard Method of Test,"Surface Burning Characteristics of Flooring, Floor Coverings, And Miscellaneous Materials And Assemblies",Surface Burning Characteristics of Flooring,Burning Characteristics of Flooring,Miscellaneous Materials And Assemblies,Surface Burning Characteristics,Floor Coverings
102.3,Standard Method of Fire Test of Light Diffusers And Lenses,Ed. 3,ULC,"August 01, 2007",canulc,True,Standard Method of Fire Test,Light Diffusers And Lenses,Light Diffusers And Lenses,Diffusers And Lenses,Light Diffusers,Lenses,Diffusers
102.3,Standard Method of Fire Test of Light Diffusers And Lenses,Ed. 4,ULC,"June 01, 2018",canulc,True,Standard Method of Fire Test,Light Diffusers And Lenses,Light Diffusers And Lenses,Diffusers And Lenses,Light Diffusers,Lenses,Diffusers
102.4,"Standard Method of Test for Fire And Smoke Characteristics of Electrical Wiring, Cables And Non-Metallic Raceways / Méthode D'Essai Normalisée Caractéristiques De Résistance Au Feu Et À La Fumée Des Fils Et Câbles Électriques Et Des Canalisations Non Métalliques",Ed. 4,ULC,"September 01, 2017",ulc,False,Standard Method of Test,"Fire And Smoke Characteristics of Electrical Wiring, Cables And Non-Metallic Raceways",Smoke Characteristics of Electrical Wiring,Characteristics of Electrical Wiring,Cables And Non-Metallic Raceways,Smoke Characteristics of Electrical,Fire And Smoke Characteristics
103,Standard for Factory-Built Chimneys for Residential Type And Building Heating Appliances,Ed. 11,UL,"October 15, 2010",ulstd,True,Standard,Factory-Built Chimneys for Residential Type And Building Heating Appliances,Type And Building Heating Appliances,Residential Type And Building Heating,Factory-Built Chimneys for Residential Type,Building Heating Appliances,Chimneys for Residential Type
103,"Standard Specification for ""Tin-Clad"" Fire Doors Meeting The Performance Required By Can/Ulc-S104 / Spécification Normalisée Pour Portes Coupe-Feu À Revêtement Métallique Satisfaisant Aux Exigences De La Norme Can/Ulc-S104",Ed. 4,ULC,"February 01, 2016",canulc,False,Standard,"""Tin-Clad"" Fire Doors Meeting The Performance Required By Can/Ulc-S104",Fire Doors Meeting The Performance,Doors Meeting The Performance Required,Fire Doors Meeting,Doors Meeting The Performance,Meeting The Performance Required
103A,Masonry Fireplace Adapters for Residential Type And Building Heating Appliance Chimneys,Ed. 1,UL,"May 26, 2005",outline,True,,Masonry Fireplace Adapters for Residential Type And Building Heating Appliance Chimneys,Building Heating Appliance Chimneys,Fireplace Adapters for Residential Type,Residential Type And Building Heating,Type And Building Heating Appliance,Masonry Fireplace Adapters for Residential
104,Standard for Elevator Door Locking Devices And Contacts,Ed. 11,UL,"February 26, 2016",ulstd,True,Standard,Elevator Door Locking Devices And Contacts,Door Locking Devices And Contacts,Elevator Door Locking Devices,Locking Devices And Contacts,Door Locking Devices,Elevator Door Locking
104,Standard Method for Fire Tests of Door Assemblies / Méthode Normalisée Des Essais De Résistance Au Feu Des Portes,Ed. 4,ULC,"August 01, 2015",canulc,False,Standard Method for Fire Test,Door Assemblies,Door Assemblies,Assemblies,Door,,
105,Standard Specification for Fire Door Frames Meeting The Performance Required By Can/Ulc-S104 / Norme Sur Les Cadres De Porte Coupe-Feu Satisfaisant Aux Exigences De Rendement De La Norme Can/Ulc-S104,Ed. 4,ULC,"February 01, 2016",canulc,True,Standard,Fire Door Frames Meeting The Performance Required By Can/Ulc-S104 / Norme Sur Les Cadres De Porte Coupe-Feu Satisfaisant Aux Exigences De Rendement De La Norme Can/Ulc-S104,Porte Coupe-Feu Satisfaisant Aux Exigences,Door Frames Meeting The Performance,Frames Meeting The Performance Required,Sur Les Cadres De Porte,Satisfaisant Aux Exigences De Rendement
106,Standard Method for Fire Tests of Window And Glass Block Assemblies / Méthode Normalisée Des Essais De Comportement Au Feu Des Fenêtres Et Des Briques De Verre,Ed. 3,ULC,"August 01, 2015",canulc,False,Standard Method for Fire Test,Window And Glass Block Assemblies,Window And Glass Block Assemblies,Glass Block Assemblies,Window And Glass Block,Block Assemblies,Glass Block
107,Methods of Fire Tests of Roof Coverings,Ed. 3,ULC,"June 01, 2010",canulc,True,Methods of Fire Test,Roof Coverings,Roof Coverings,Coverings,Roof,,
107,Standard Methods of Fire Tests of Roof Coverings / Méthodes Normalisées D'Essai De Résistance Au Feu Des Matériaux De Couverture,Ed. 4,ULC,"March 28, 2019",canulc,False,Standard Methods of Fire Test,Roof Coverings,Roof Coverings,Coverings,Roof,,
109,"Standard for Tube Fittings for Flammable And Combustible Fluids, Refrigeration Service, And Marine Use",Ed. 6,UL,"June 19, 1997",ulstd,True,Standard,"Tube Fittings for Flammable And Combustible Fluids, Refrigeration Service, And Marine Use",Flammable And Combustible Fluids,Fittings for Flammable And Combustible,Tube Fittings for Flammable,Refrigeration Service,Combustible Fluids
109,Flame Tests of Flame Resistant Fabrics And Films / Norme Relative Aux Essais De Comportement Au Feu Des Tissus Et Pellicules Ininflammables,Ed. 1,ULC,"June 03, 2003",,True,Flame Test,Flame Resistant Fabrics And Films / Norme Relative Aux Essais De Comportement Au Feu Des Tissus Et Pellicules Ininflammables,Norme Relative Aux Essais,Des Tissus Et Pellicules Ininflammables,Flame Resistant Fabrics And Films,Relative Aux Essais De Comportement,Comportement Au Feu Des Tissus
109,Standard Method for Flame Tests of Flame-Resistant Fabrics And Films / Méthode Normalisée Des Essais De Comportement Au Feu Des Tissus Et Pellicules Ininflammables,Ed. 3,ULC,"September 01, 2014",canulc,False,Standard Method for Flame Test,Flame-Resistant Fabrics And Films,Flame-Resistant Fabrics And Films,Fabrics And Films,Flame-Resistant Fabrics,Films,Fabrics
110,Standard Methods of Test for Air Ducts / Méthodes Normalisées D'Essai Des Conduits D'Air,Ed. 3,ULC,"July 01, 2013",canulc,False,Standard Methods of Test,Air Ducts,Air Ducts,Ducts,Air,,
110,Standard for Sustainability for Mobile Phones,Ed. 2,UL Environment,"March 24, 2017",ule,True,Standard,Sustainability for Mobile Phones,Sustainability for Mobile Phones,Mobile Phones,Sustainability for Mobile,Phones,Mobile
111,Outline of Investigation for Multioutlet Assemblies,Ed. 8,UL,"January 09, 2023",outline,True,Outline,Investigation for Multioutlet Assemblies,Investigation for Multioutlet Assemblies,Multioutlet Assemblies,Investigation for Multioutlet,Assemblies,Multioutlet
111,Standard Method of Fire Tests for Air Filter Units,Ed. 5,ULC,"December 01, 2013",canulc,True,Standard Method of Fire Test,Air Filter Units,Air Filter Units,Filter Units,Air Filter,Units,Filter
111,Standard Method of Fire Tests for Air Filter Units / Méthode D'Essai Normalisée De Résistance Au Feu Des Filtres,Ed. 5,ULC,"December 01, 2013",canulc,False,Standard Method of Fire Test,Air Filter Units,Air Filter Units,Filter Units,Air Filter,Units,Filter
112,Standard Method of Fire Test of Fire Damper Assemblies / Méthode D'Essai Normalisée De Résistance Au Feu Des Registres Coupe-Feu,Ed. 3,ULC,"June 01, 2010",canulc,False,Standard Method of Fire Test,Fire Damper Assemblies,Fire Damper Assemblies,Damper Assemblies,Fire Damper,Assemblies,Damper
112.1,Standard for Leakage Rated Dampers for Use In Smoke Control Systems / Norme Sur Les Registres Étanches Pour Systèmes De Désenfumage,Ed. 2,ULC,"July 01, 2010",canulc,False,Standard,Leakage Rated Dampers for Use In Smoke Control Systems,Smoke Control Systems,Leakage Rated Dampers,Control Systems,Rated Dampers,Dampers for Use In Smoke
112.2,Standard Method of Fire Test of Ceiling Firestop Flap Assemblies / Méthode D'Essai Normalisée De Comportement Au Feu Des Clapets Coupe-Feu Situés Dans Les Plafonds,Ed. 2,ULC,"October 01, 2007",canulc,False,Standard Method of Fire Test,Ceiling Firestop Flap Assemblies,Ceiling Firestop Flap Assemblies,Firestop Flap Assemblies,Ceiling Firestop Flap,Flap Assemblies,Firestop Flap
113,Procedure for The Preparation of A Toxicological Assessment,Ed. 1,UL Environment,"October 25, 2010",ule,True,Procedure,The Preparation of A Toxicological Assessment,Preparation of A Toxicological Assessment,Toxicological Assessment,Preparation of A Toxicological,Assessment,Preparation
113,Standard Specification for Wood Core Doors Meeting The Performance Required By Can4-S104-77 for Twenty Minute Fire Rated Closure Assemblies,Ed. 3,ULC,"January 14, 2008",,True,Standard,Wood Core Doors Meeting The Performance Required By Can4-S104-77 for Twenty Minute Fire Rated Closure Assemblies,Minute Fire Rated Closure Assemblies,Twenty Minute Fire Rated Closure,Fire Rated Closure Assemblies,Core Doors Meeting The Performance,Doors Meeting The Performance Required
113,Standard Specification for Wood Core Doors Meeting The Performance Required By Can/Ulc-S104 for Twenty Minute Fire Rated Closure Assemblies / Spécification De Norme : Portes À Âme De Bois Satisfaisant Aux Exigences De Rendement De Can / Ulc-S104 Pour Les Dispositifs De Fermeture Ayant Un Degré De Résistance Au Feu De Vingt Minutes,Ed. 4,ULC,"February 01, 2016",canulc,False,Standard,Wood Core Doors Meeting The Performance Required By Can/Ulc-S104 for Twenty Minute Fire Rated Closure Assemblies,Minute Fire Rated Closure Assemblies,Twenty Minute Fire Rated Closure,Fire Rated Closure Assemblies,Core Doors Meeting The Performance,Doors Meeting The Performance Required
114,Standard Method of Test for Determination of Non-Combustibility In Building Materials / Méthode D’Essai Normalisée Pour La Détermination De L’Incombustibilité Des Matériaux De Construction,Ed. 3,ULC,"July 01, 2005",,False,Standard Method of Test,Determination of Non-Combustibility In Building Materials,Non-Combustibility In Building Materials,Determination of Non-Combustibility In Building,Building Materials,Non-Combustibility In Building,Determination of Non-Combustibility
114,Standard Method of Test for Determination of Non-Combustibility In Building Materials / Méthode D'Essai Normalisée Pour La Détermination De L'Incombustibilité Des Matériaux De Construction,Ed. 4,ULC,"June 01, 2018",canulc,False,Standard Method of Test,Determination of Non-Combustibility In Building Materials,Non-Combustibility In Building Materials,Determination of Non-Combustibility In Building,Building Materials,Non-Combustibility In Building,Determination of Non-Combustibility
115,Standard Method of Fire Tests of Firestop Systems,Ed. 4,ULC,"June 01, 2011",canulc,True,Standard Method of Fire Test,Firestop Systems,Firestop Systems,Systems,Firestop,,
115,Standard Method of Fire Tests of Firestop Systems / Méthode Normalisée D’Essais De Résistance Au Feu Des Dispositifs Coupe-Feu,Ed. 5,ULC,"June 01, 2018",canulc,False,Standard Method of Fire Test,Firestop Systems,Firestop Systems,Systems,Firestop,,
115,Sustainability for Thermal Insulation,Ed. 1,UL Environment,"February 23, 2011",,True,,Sustainability for Thermal Insulation,Sustainability for Thermal Insulation,Thermal Insulation,Sustainability for Thermal,Insulation,Thermal
118,Indoor Air Quality,Ed. 1,UL,"June 14, 2011",,True,,Indoor Air Quality,Indoor Air Quality,Air Quality,Indoor Air,Quality,Air
118F,Managing Fire And Chemical Exposure Risks of Residential Upholstered Furniture,Ed. 1,Underwriters Laboratories Inc,"April 19, 2021",,True,,Managing Fire And Chemical Exposure Risks of Residential Upholstered Furniture,Risks of Residential Upholstered Furniture,Fire And Chemical Exposure Risks,Chemical Exposure Risks of Residential,Exposure Risks of Residential Upholstered,Managing Fire And Chemical Exposure
119,"Outline of Investigation for Adapters, Fittings And Couplings for Anhydrous Ammonia And Fuel Gases",Ed. 5,UL,"January 06, 2021",outline,True,Outline,"Investigation for Adapters, Fittings And Couplings for Anhydrous Ammonia And Fuel Gases",Anhydrous Ammonia And Fuel Gases,Fittings And Couplings for Anhydrous,Ammonia And Fuel Gases,Couplings for Anhydrous Ammonia,Anhydrous Ammonia And Fuel
122,Standard for Photographic Equipment,Ed. 5,UL,"October 29, 2007",ulstd,True,Standard,Photographic Equipment,Photographic Equipment,Equipment,Photographic,,
123,Standard for Oxy-Fuel Gas Torches,Ed. 11,UL,"June 15, 2007",ulstd,True,Standard,Oxy-Fuel Gas Torches,Oxy-Fuel Gas Torches,Gas Torches,Oxy-Fuel Gas,Torches,Gas
124,Outline of Investigation for Hand-Operated Pumps for Flammable And Combustible Liquids And Battery Operated Pumps for Combustible Liquids,Ed. 5,UL,"October 11, 2022",outline,True,Outline,Investigation for Hand-Operated Pumps for Flammable And Combustible Liquids And Battery Operated Pumps for Combustible Liquids,Combustible Liquids And Battery Operated,Liquids And Battery Operated Pumps,Battery Operated Pumps for Combustible,Operated Pumps for Combustible Liquids,Battery Operated Pumps
124,Outline of Investigation for Hand-Operated Pumps for Flammable And Combustible Liquids And Battery Operated Pumps for Combustible Liquids,Ed. 6,UL,"April 10, 2023",outline,True,Outline,Investigation for Hand-Operated Pumps for Flammable And Combustible Liquids And Battery Operated Pumps for Combustible Liquids,Combustible Liquids And Battery Operated,Liquids And Battery Operated Pumps,Battery Operated Pumps for Combustible,Operated Pumps for Combustible Liquids,Battery Operated Pumps
124,Standard Method of Test for The Evaluation of Protective Coverings for Foamed Plastic / Méthode D’Essai Normalisée Évaluation Des Revêtements Protecteurs Des Mousses Plastiques,Ed. 1,ULC,"August 01, 2006",,False,Standard Method of Test,The Evaluation of Protective Coverings for Foamed Plastic,Protective Coverings for Foamed Plastic,Coverings for Foamed Plastic,Evaluation of Protective Coverings,Protective Coverings for Foamed,Foamed Plastic
124,Standard Method of Test for The Evaluation of Thermal Barriers for Foamed Plastic / Méthode D'Essai Normalisée Pour L'Évaluation Des Barrières Thermiques De La Mousse Plastique,Ed. 3,ULC,"June 01, 2018",canulc,False,Standard Method of Test,The Evaluation of Thermal Barriers for Foamed Plastic,Thermal Barriers for Foamed Plastic,Barriers for Foamed Plastic,Evaluation of Thermal Barriers,Thermal Barriers for Foamed,Foamed Plastic
125,Ansi/Can/Ul/Ulc Flow Control Valves for Anhydrous Ammonia And Lp-Gas / Soupapes De Régulation De Débit Pour L,Ed. 10,UL,"July 27, 2020",,False,,Ansi/Can/Ul/Ulc Flow Control Valves for Anhydrous Ammonia And Lp-Gas,Ulc Flow Control Valves,Flow Control Valves for Anhydrous,Control Valves for Anhydrous Ammonia,Ulc Flow Control,Flow Control Valves
125,Flow Control Valves for Anhydrous Ammonia And Lp-Gas / Soupapes De Régulation De Débit Pour L,Ed. 10,ULC,"July 27, 2020",ulc,False,,Flow Control Valves for Anhydrous Ammonia And Lp-Gas,Control Valves for Anhydrous Ammonia,Flow Control Valves for Anhydrous,Control Valves for Anhydrous,Valves for Anhydrous Ammonia,Flow Control Valves
126,Standard Method of Test for Fire Spread Under Roof-Deck Assemblies / Méthode Normalisée D'Essai De Propagation Des Flammes Sous Les Platelages De Toits,Ed. 3,ULC,"September 01, 2014",canulc,False,Standard Method of Test,Fire Spread Under Roof-Deck Assemblies,Fire Spread Under Roof-Deck Assemblies,Spread Under Roof-Deck Assemblies,Fire Spread Under Roof-Deck,Fire Spread,Roof-Deck Assemblies
126,Standard for Sustainability for Plastic Film Products,Ed. 1,UL Environment,"May 01, 2012",ule,True,Standard,Sustainability for Plastic Film Products,Sustainability for Plastic Film Products,Plastic Film Products,Sustainability for Plastic Film,Film Products,Plastic Film
127,Standard for Factory-Built Fireplaces,Ed. 9,UL,"April 21, 2011",ulstd,True,Standard,Factory-Built Fireplaces,Factory-Built Fireplaces,Fireplaces,Factory-Built,,
