Standard_Number,Description,Label,Catalog,Edition_Date,Type
145,STANDARD METHOD OF TEST FOR THE EVALUATION OF PROTECTIVE COVERINGS FOR FOAMED PLASTIC INSULATION - FULL-SCALE ROOM TEST / MÉTHODE D’ESSAI NORMALISÉE POUR L’ÉVALUATION DES REVÊTEMENTS PROTECTEURS DES ISOLATIONS À LA MOUSSE PLASTIQUE - ESSAI DANS UNE PIÈCE EN VRAIE GRANDEUR,Ed. 1,ULC,"June 01, 2018",canulc
146,Standard Method of Test for the Evaluation of Encapsulation Materials and Assemblies of Materials for the Protection of Structural Timber Element / Méthode d'essai normalisée pour l'évaluation des matériaux d'encapsulation et les assemblages de matériaux aux fins de la protection des éléments de bois de charpente,Ed. 1,ULC,"May 31, 2019",canulc
147,Standard for Hand-Held Torches for Fuel Gases,Ed. 7,UL,"March 05, 2015",ulstd
147A,Standard for Nonrefillable (Disposable) Type Fuel Gas Cylinder Assemblies,Ed. 4,UL,"June 06, 2018",ulstd
147B,Standard for Nonrefillable (Disposable) Type Metal Container Assemblies for Butane,Ed. 4,UL,"August 25, 2016",ulstd
150,Standard for Antenna Rotators,Ed. 4,UL,"November 09, 2004",ulstd
153,Standard for Portable Electric Luminaires,Ed. 13,UL,"March 03, 2014",ulstd
154,Carbon-Dioxide Fire Extinguishers,Ed. 9,UL,"February 28, 2005",ululc
155,Standard for Tests for Fire Resistance of Vault and File Room Doors,Ed. 8,UL,"April 05, 2000",ulstd
155,Preliminary Standards for Tests for Fire Resistance of Vault and File Room Doors,Ed. 1,ULC,"January 01, 1975",
157,Standard for Gaskets and Seals,Ed. 2,UL,"March 08, 1996",ulstd
162,Standard for Foam Equipment and Liquid Concentrates,Ed. 8,UL,"February 23, 2018",ulstd
162A,Outline of Investigation for Fixed Water-Motor Coupled Pumps for Foam Concentrate Proportioning,Ed. 1,UL,"September 12, 2012",outline
174,Standard for Household Electric Storage Tank Water Heaters,Ed. 11,UL,"April 29, 2004",ulstd
175,Standard for Sustainability for Sanitary Paper Products,Ed. 1,UL Environment,"November 18, 2013",ule
180,Combustible Liquid Tank Accessories / Accessoires de réservoirs pour liquides combustibles,Ed. 9,UL,"March 15, 2019",ulcanada
180,Combustible Liquid Tank Accessories / Accessoires de réservoirs pour liquides combustibles,Ed. 9,ULC,"March 15, 2019",canulc
181,Standard for Factory-Made Air Ducts and Air Connectors,Ed. 11,UL,"July 25, 2013",ulstd
181A,Standard for Closure Systems for Use With Rigid Air Ducts,Ed. 4,UL,"January 08, 2013",ulstd
181B,Standard for Closure Systems for Use With Flexible Air Ducts and Air Connectors,Ed. 3,UL,"January 08, 2013",ulstd
181C,Outline of Investigation for Non-Metal Joining Accessories for Flexible Air Ducts and Air Connectors,Ed. 1,UL,"May 20, 2020",outline
183,Standard for Manufactured Wiring Systems,Ed. 4,UL,"September 22, 2009",ulstd
193,Standard for Alarm Valves for Fire-Protection Service,Ed. 11,UL,"February 26, 2016",ulstd
193,Guide for the Investigation of Alarm Valves for Fire-Protection Service,Ed. 1,ULC,"January 01, 1975",
194,Standard for Gasketed Joints for Ductile-Iron Pipe and Fittings for Fire Protection Service,Ed. 6,UL,"November 30, 2005",ulstd
194,Guide for the Investigation of Gasketed Joints for Cast-Iron Pressure Pipes and Fittings,Ed. 1,ULC,"January 01, 1975",
197,Standard for Commercial Electric Cooking Appliances,Ed. 10,UL,"March 17, 2010",ulstd
198M,Standard for Mine-Duty Fuses,Ed. 5,UL,"April 04, 2018",ulstd
199,Automatic Sprinklers for Fire-Protection Service / Gicleurs automatiques pour service de protection contre l'incendie,Ed. 13,UL,"February 25, 2022",ululcanada
199,Automatic Sprinklers for Fire-Protection Service / Gicleurs automatiques pour service de protection contre l'incendie,Ed. 13,ULC,"February 25, 2022",canulc
199B,Outline for Control Cabinets for Automatic Sprinkler Systems Used for Protection of Commercial Cooking Equipment,Ed. 6,UL,"July 30, 2015",outline
199D,Guards for Sprinklers,Ed. 1,ULC,"December 01, 2003",
199E,Outline of Investigation for Fire Testing of Sprinklers and Water Spray Nozzles for Protection of Deep Fat Fryers,Ed. 1,UL,"May 06, 2004",outline
199G,Outline of Investigation for Fire Testing of Specific Application Sprinklers for Use in Attic Spaces,Ed. 1,UL,"August 09, 2012",outline
199K,Outline of Investigation for Fire Testing Specific Application Horizontal Sidewall Sprinklers for Installation in Racks Having Vertical and Horizontal Barriers,Ed. 1,UL,"April 26, 2023",outline
199P,Requirements for Combustible Piping for Sprinkler Systems,Ed. 2,ULC,"January 01, 2002",
199S,Light Wall Steel Pipes for Sprinkler Systems for Fire Protection Services,Ed. 1,ULC,"May 01, 1994",
200A,Use of Do-It-Yourself Filtration Devices During Wildfires,Ed. 1,UL,"April 19, 2022",
201,Standard for Garage Equipment,Ed. 3,UL,"March 31, 2015",ulstd
203,Standard for Pipe Hanger Equipment for Fire Protection Service / Norme sur les équipements de fixation de conduites pour le service de protection contre les incendies,Ed. 11,UL,"March 17, 2020",ulstd
203,Pipe Hanger Equipment for Fire Protection Service,Ed. 1,ULC,"December 03, 2003",
203A,Sway Brace Devices for Sprinkler System Piping,Ed. 1,UL,"December 18, 2015",ulstd
203A,Sway Brace Devices for Sprinkler System Piping,Ed. 1,ULC,"January 31, 2011",
205,Subject 205 - Burglary Protection Systems and Services,Ed. 1,UL,"July 30, 2004",
205A,Subject for Burglary Protection Equipment,Ed. 1,UL,"May 28, 2008",
207,"Standard for Refrigerant-Containing Components and Accessories, Nonelectrical",Ed. 8,UL,"April 20, 2009",ulstd
207,"Refrigerant-Containing Components and Accessories, Nonelectrical",Ed. 9,UL,"August 26, 2022",ulstd
209,Standard for Cellular Metal Floor Raceways and Fittings,Ed. 10,UL,"December 20, 2011",ulstd
210,Guide for Listing and Labelling of Factory-Built Chimney Connectors,Ed. 1,ULC,"September 01, 2004",
212,Outline of Investigation for Hand-Operated Chemical Pumps,Ed. 1,UL,"May 07, 2008",outline
212,Outline of Investigation for Hand-Operated Chemical Pumps,Ed. 2,UL,"May 20, 2008",
213,Rubber Gasketed Fittings for Fire-Protection Service / Raccords munis de joints en caoutchouc utilisés par le service de protection incendie,Ed. 5,UL,"July 12, 2019",ulstd
213,Welded Outlet Fittings,Ed. 1,ULC,"December 01, 2003",
213B,Outline of Investigation for Welded Outlet Fittings for Fire Protection Systems,Ed. 6,UL,"June 24, 2022",outline
213B,WELDED OUTLET FITTINGS,Ed. 1,ULC,"December 01, 2003",
213C,Grooved and Plain End Fittings,Ed. 1,UL,"July 08, 2014",ulstd
217,Standard for Smoke Alarms,Ed. 9,UL,"January 02, 2020",ulstd
218,Fire Pump Controllers,Ed. 3,UL,"September 16, 2015",ulcsance
218A,Standard for Battery Contactors for Use in Diesel Engines Driving Centrifugal Fire Pumps,Ed. 3,UL,"February 26, 2004",ulstd
219,Standard for Lined Fire Hose for Interior Standpipes,Ed. 4,UL,"October 25, 2013",ulstd
224,Extruded Insulating Tubing,Ed. 7,UL,"May 05, 2021",ulcsa
228,"Standard for Door Closers-Holders, With or Without Integral Smoke Detectors",Ed. 5,UL,"January 26, 2006",ulstd
228,Door Closers and Holders,Ed. 2,ULC,"May 01, 1995",
231,Standard for Power Outlets,Ed. 10,UL,"October 05, 2016",ulstd
234,Standard for Low Voltage Lighting Fixtures for Use in Recreational Vehicles,Ed. 5,UL,"January 21, 2005",ulstd
242,Standard for Nonmetallic Containers for Waste Paper,Ed. 4,UL,"November 20, 2015",ulstd
244B,Standard for Field Installed and/or Field Connected Appliance Controls,Ed. 1,UL,"May 12, 2021",ulstd
246,Standard for Hydrants for Fire-Protection Service,Ed. 8,UL,"May 25, 2011",ulstd
246A,Outline of Investigation for Non-Threaded Connections for Fire Hydrants and Fire Department Connections,Ed. 2,UL,"August 06, 2021",outline
246b,Outline of Investigation for Tamper Resistant Features of Hydrants for Fire-Protection Service,Ed. 2,UL,"May 05, 2017",outline
246C,Outline of Investigation for Wet Barrel Fire Hydrants for Oil Platforms,Ed. 1,UL,"December 07, 2012",outline
248-1,Low-Voltage Fuses - Part 1: General Requirements,Ed. 4,UL,"October 24, 2022",ulcsance
248-2,Low-Voltage Fuses - Part 2: Class C Fuses,Ed. 2,UL,"August 01, 2000",ulcsance
248-3,Low-Voltage Fuses - Part 3: Class CA and CB Fuses,Ed. 2,UL,"August 01, 2000",ulcsance
248-4,Low-Voltage Fuses - Part 4: Class CC Fuses,Ed. 2,UL,"August 01, 2000",ulcsance
248-5,Low-Voltage Fuses - Part 5: Class G Fuses,Ed. 2,UL,"August 01, 2000",ulcsance
248-6,Low-Voltage Fuses - Part 6: Class H Non-Renewable Fuses,Ed. 2,UL,"August 01, 2000",ulcsance
248-7,Low-Voltage Fuses - Part 7: Class H Renewable Fuses,Ed. 2,UL,"August 01, 2000",ulcsance
248-8,Low-Voltage Fuses - Part 8: Class J Fuses,Ed. 3,UL,"May 13, 2011",ulcsance
248-9,Low-Voltage Fuses - Part 9: Class K Fuses,Ed. 2,UL,"August 01, 2000",ulcsance
248-10,Low-Voltage Fuses - Part 10: Class L Fuses,Ed. 3,UL,"May 13, 2011",ulcsance
248-11,Low-Voltage Fuses - Part 11: Plug Fuses,Ed. 3,UL,"May 13, 2011",ulcsance
248-12,Low-Voltage Fuses - Part 12: Class R Fuses,Ed. 3,UL,"May 13, 2011",ulcsance
248-13,Low-Voltage Fuses - Part 13: Semiconductor Fuses,Ed. 3,UL,"March 31, 2022",ulcsance
248-14,Low-Voltage Fuses - Part 14: Supplemental Fuses,Ed. 2,UL,"August 01, 2000",ulcsance
248-15,Low-Voltage Fuses - Part 15: Class T Fuses,Ed. 3,UL,"March 09, 2018",ulcsance
248-16,Low-Voltage Fuses - Part 16: Test Limiters,Ed. 3,UL,"April 04, 2018",ulcsance
248-17,Outline of Investigation for Low-Voltage Fuses - Part 17: Class CF Fuses,Ed. 5,UL,"September 13, 2018",outline
248-18,Low-Voltage Fuses - Part 18: Class CD Fuses,Ed. 1,UL,"March 31, 2022",ulcsance
248-19,Low-Voltage Fuses - Part 19: Photovoltaic Fuses,Ed. 1,UL,"November 13, 2015",ulcsance
248-20,Outline of Investigation for Low-Voltage Fuses - Part 20: Electric Vehicle (EV) Fuses,Ed. 1,UL,"January 07, 2019",outline
252,Compressed Gas Regulators / Régulateurs de gaz comprimé,Ed. 11,UL,"October 27, 2022",ululcanada
252,Compressed Gas Regulators / Régulateurs de gaz comprimé,Ed. 11,ULC,"October 27, 2022",ululcanada
252A,Compressed Gas Regulator Accessories / Accessoires de régulateurs de gaz comprimé,Ed. 5,UL,"October 27, 2022",ululcanada
252A,Compressed Gas Regulator Accessories / Accessoires de régulateurs de gaz comprimé,Ed. 5,ULC,"October 27, 2022",ululcanada
258,Shutoff Valves for Trim and Drain Purposes for Fire Protection / Vannes d'arrêt de garniture et d'évacuation destinées à la protection incendie,Ed. 1,UL,"February 09, 2022",ulcanada
258,Shutoff Valves for Trim and Drain Purposes for Fire Protection Service,Ed. 1,ULC,"January 01, 2003",
260,Standard for Dry Pipe and Deluge Valves for Fire-Protection Service,Ed. 7,UL,"March 17, 2004",ulstd
260,"Guide for the Investigation of Dry Pipe, Deluge and Pre-Action Valves for Fire Protection",Ed. 1,ULC,"February 01, 1975",
260A,Outline of Investigation for Air Pressure Maintenance Devices,Ed. 1,UL,"March 04, 2005",outline
262,Standard for Gate Valves for Fire-Protection Service,Ed. 8,UL,"February 26, 2004",ulstd
262,Gate Valves for Fire Protection Service,Ed. 1,ULC,"February 01, 1992",
263,Standard for Fire Tests of Building Construction and Materials,Ed. 14,UL,"June 21, 2011",ulstd
263,Criteria for Use in Extension of Data from Fire Endurance Tests,Ed. 1,ULC,"April 01, 1998",
263.1,Sprinkler-Protected Windows Systems,Ed. 1,ULC,"October 01, 1999",
267,Outline of Investigation for Wire-Pulling Compounds,Ed. 3,UL,"April 21, 2008",outline
268,Standard for Smoke Detectors for Fire Alarm Signaling Systems,Ed. 6,UL,"August 14, 2009",ululc
268,Smoke Detectors for Fire Alarm Systems,Ed. 7,UL,"January 11, 2016",ululc
268.13,Smoke-Alarms for Mobile Homes and Recreational Vehicles,Ed. 1,ULC,"January 01, 1993",
268A,Standard for Smoke Detectors for Duct Application,Ed. 4,UL,"December 11, 2008",ulstd
268B,Video Image Smoke Detectors,Ed. 1,UL,"April 29, 2009",outline
268C,Outline of Investigation for Multi-Detector Test Apparatus,Ed. 1,UL,"June 29, 2010",outline
2734,Connectors and Service Plugs for Use with On-Board Electrical Vehicle (EV) Charging Systems,Ed. 4,UL,"October 01, 2020",outline
275,Standard for Automotive Glass-Tube Fuses,Ed. 10,UL,"April 19, 2013",ulstd
275A,Outline of Investigation for Automotive Blade Type Fuses,Ed. 4,UL,"November 30, 2007",outline
283,Standard for Air Fresheners and Deodorizers,Ed. 3,UL,"June 16, 2015",ulstd
291,Standard for Automated Teller Systems,Ed. 6,UL,"February 15, 2012",ulstd
293,Outline of Investigation for Performance of Access Control System Units Intended for Use in the UK,Ed. 4,UL,"June 19, 2018",outline
294,Standard for Access Control System Units,Ed. 7,UL,"January 31, 2018",ulstd
295,Standard for Commercial-Industrial Gas Burners,Ed. 2,UL,"February 08, 2017",ulstd
296,Standard for Oil Burners,Ed. 11,UL,"February 24, 2017",ulstd
296A,Standard for Waste Oil-Burning Air-Heating Appliances,Ed. 3,UL,"August 02, 2018",ulstd
299,Dry Chemical Fire Extinguishers,Ed. 11,UL,"April 13, 2012",ululc
299,Dry Chemical Fire Extinguishers,Ed. 12,UL,"September 25, 2015",
299A,Outline of Investigation for Portable Dry Chemical Extinguishing System Units,Ed. 3,UL,"November 21, 2006",outline
299C,Outline of Investigation for Fire Extinguishing Dry Chemical for Special Applications,Ed. 3,UL,"May 06, 2016",outline
299D,Outline of Investigation for Dry Chemical Fire Extinguishers for Residential Cooking Equipment,Ed. 1,UL,"July 09, 2010",outline
300,Fire Testing of Fire Extinguishing Systems for Protection of Commercial Cooking Equipment / Norme sur la mise à l'essai de systèmes d'extinction d'incendie conçus pour la protection d'équipement de cuisson commercial,Ed. 4,UL,"June 10, 2019",ulcanada
300,Fire Testing of Fire Extinguishing Systems for Protection of Commercial Cooking Equipment / Norme sur la mise à l'essai de systèmes d'extinction d'incendie conçus pour la protection d'équipement de cuisson commercial,Ed. 4,ULC,"June 10, 2019",ulc
300A,Extinguishing System Units for Residential Range Top Cooking Surfaces,Ed. 3,UL,"November 21, 2006",outline
301,STANDARD FOR SIGNAL RECEIVING CENTRES CONFIGURATIONS AND OPERATIONS / NORME SUR LA CONFIGURATION ET L'EXPLOITATION DE CENTRALES DE RÉCEPTION D'ALARME,Ed. 3,ULC,"August 01, 2018",canulc
302,"STANDARD FOR THE INSTALLATION, INSPECTION AND TESTING OF INTRUSION ALARM SYSTEMS / NORME SUR L'INSTALLATION, L'INSPECTION ET LA MISE À L'ESSAI DES SYSTÈMES D'ALARME ANTI-INTRUSION",Ed. 2,ULC,"October 01, 2014",canulc
304,"STANDARD FOR CONTROL UNITS, ACCESSORIES AND RECEIVING EQUIPMENT FOR INTRUSION ALARM SYSTEMS / NORME SUR LES POSTES DE CONTRÔLE, LES ACCESSOIRES ET L'ÉQUIPEMENT DE RÉCEPTION POUR LES SYSTÈMES D'ALARME ANTI-INTRUSION",Ed. 3,ULC,"April 01, 2016",canulc
305,Standard for Panic Hardware,Ed. 6,UL,"July 12, 2012",ulstd
306,STANDARD FOR INTRUSION DETECTION UNITS / NORME SUR LES DÉTECTEURS D'INTRUSION,Ed. 3,ULC,"August 06, 2020",canulc
307A,Standard for Liquid Fuel-Burning Heating Appliances for Manufactured Homes and Recreational Vehicles,Ed. 9,UL,"July 24, 2018",ulstd
307B,Standard for Gas-Burning Heating Appliances For Manufactured Homes and Recreational Vehicles,Ed. 5,UL,"October 31, 2006",ulstd
308,Subject for Power Distribution Units,Ed. 1,UL,"February 25, 2000",
310,Electrical Quick-Connect Terminals,Ed. 9,UL,"October 17, 2014",ulcsa
312,ANSI/CAN/UL/ULC Check Valves for Fire-Protection Service / Clapets antiretour pour service de protection contre les incendies,Ed. 11,UL,"June 02, 2022",ulstd
312,ANSI/CAN/UL/ULC Standard for Check Valves for Fire-Protection Service / Clapets antiretour pour service de protection contre les incendies,Ed. 11,ULC,"June 02, 2022",canulc
316,STANDARD FOR PERFORMANCE OF VIDEO SURVEILLANCE SYSTEMS / NORMES SUR LA PERFORMANCE DES SYSTÈMES DE SURVEILLANCE VIDÉO,Ed. 1,ULC,"December 01, 2014",canulc
317,Standard for Installation and Classification of Closed Circuit Video Equipment (CCVE) Systems for Institutional and Commercial Security Applications,Ed. 1,ULC,"June 08, 2015",
318,Standard for Power Supplies for Burglar Alarm Systems,Ed. 1,ULC,"May 01, 1996",
319,Electronic Access Control Systems / Systèmes électroniques de contrôle d’accès,Ed. 1,ULC,"September 01, 2005",
321,Outline of Investigation for Pipeline Strainers,Ed. 3,UL,"November 15, 2006",outline
321,STANDARD FOR BURGLARY RESISTANT VAULT DOORS AND MODULAR PANELS / Portes et panneaux modulaires antivol des chambres fortes,Ed. 1,ULC,"May 01, 1991",
322,Vault Ventilators and Vault Ventilatating,Ed. 1,ULC,"September 01, 1992",
324,Burglary Resistant Safes,Ed. 1,ULC,"October 01, 1993",
325,"Door, Drapery, Gate, Louver, and Window Operators and Systems / Dispositifs d'ouverture et systèmes de porte, de tenture, de barrière, de persienne et de fenêtre",Ed. 7,UL,"May 19, 2017",ulstd
327,Outline of Investigation for Turbine Type Flow Meters for Fire Protection Systems,Ed. 5,UL,"January 25, 2011",outline
327,Burglar Resistant Combination Locks,Ed. 1,ULC,"May 01, 1998",
327A,Outline of Investigation for Inferential Type Residential Water Flow Meters,Ed. 3,UL,"February 22, 2008",outline
327B,Outline of Investigation for Ultrasonic and Magnetic Type Water Flow Meters,Ed. 3,UL,"May 13, 2011",outline
328,Outline of Investigation for Gasoline Torches,Ed. 3,UL,"February 05, 2014",outline
328,Burglary Resistant Key Locks,Ed. 1,ULC,"May 01, 1998",
330,ANSI/CAN/UL Standard for Hose and Hose Assemblies for Dispensing Flammable and Combustible Liquids / Tuyaux flexibles et tuyaux flexibles à raccords pour liquides inflammables et combustibles,Ed. 9,UL,"February 11, 2021",ulstd
330,Burglary-Resistant Night Depositories,Ed. 1,ULC,"August 01, 1993",
330A,Hose and Hose Assemblies for Use with Dispensing Devices Dispensing Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations Up To 85 Percent (E0 - E85),Ed. 1,UL,"November 05, 2019",ulstd
330B,"Hose and Hose Assemblies for Use With Dispensing Devices Dispensing Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends With Nominal Biodiesel Concentrations Up To 20 Percent (B20), Kerosene, and Fuel Oil",Ed. 1,UL,"December 18, 2015",ulstd
331,"Strainers for Flammable and Combustible Liquids, Anhydrous Ammonia and Non-potable Water / Crépines pour liquides inflammables et combustibles, ammoniac et eau non potable",Ed. 9,UL,"February 22, 2023",ululcanada
331,Guide for the Investigation of Strainers for Flammable Fluids and Anhydrous Ammonia,Ed. 1,ULC,"April 01, 1975",
331A,Standard for Strainers for Gasoline and Gasoline/Ethanol Blends with Nominal Ethanol Concentrations up to 85 Percent (E0 - E85),Ed. 1,UL,"February 06, 2015",ulstd
331B,"Strainers for Diesel Fuel, Biodiesel Fuel, Diesel/Biodiesel Blends with Nominal Biodiesel Concentrations Up to 20 Percent (B20), Kerosene, and Fuel Oil",Ed. 1,UL,"February 05, 2015",ulstd
331C,Outline of Investigation for Fuel Filtration Units,Ed. 2,UL,"February 12, 2021",outline
332,Standard For Burglary Resistant Glazing Material,Ed. 1,ULC,"September 01, 1993",
334,Outline of Investigation for Theater Lighting Distribution and Control Equipment,Ed. 2,UL,"February 28, 2022",outline
334,Burglary Resistant Electronic Combination Locks,Ed. 1,ULC,"May 01, 1998",
335K,"Household and Similar Electrical Appliances - Safety - Part 2-72: Particular Requirements for Floor Treatment Machines With or Without Traction Drive, for Commercial Use",Ed. 1,UL,"May 26, 2017",
337,Delayed-Action Timelocks,Ed. 1,ULC,"May 01, 1998",
338,STANDARD FOR AUTOMOBILE THEFT DETERRENT EQUIPMENT AND SYSTEMS: ELECTRONIC IMMOBILIZATION / NORME SUR LES SYSTÈMES ET LES APPAREILLAGES DE PRÉVENTION DU VOL DE VÉHICULES AUTOMOBILES : IMMOBILISATION ÉLECTRONIQUE,Ed. 1,ULC,"May 01, 1998",canulc
340,Standard for Tests for Comparative Flammability of Liquids,Ed. 6,UL,"July 24, 2017",ulstd
343,Standard for Pumps for Oil-Burning Appliances,Ed. 9,UL,"December 17, 2008",ulstd
343,Guide for the Investigation of Pumps for Oil-Burning Appliances,Ed. 1,ULC,"September 01, 2004",
346,Standard for Waterflow Indicators for Fire Protective Signaling Systems,Ed. 5,UL,"June 30, 2005",ulstd
347,"Medium-Voltage AC Contactors, Controllers, and Control Centers",Ed. 7,UL,"November 23, 2020",ulcsance
347A,Medium Voltage Power Conversion Equipment,Ed. 2,UL,"January 05, 2021",ulstd
347B,"Outline for Medium Voltage Motor Controllers, Up To 15KV",Ed. 1,UL,"June 20, 2005",outline
347C,"Outline of Investigation for Medium Voltage Solid State Resistive Load Controllers, Up to 15KV",Ed. 1,UL,"May 22, 2014",outline
347D,"Outline for Medium Voltage Stator Switching Assemblies for Wind Applications, Up to 15KV",Ed. 1,UL,"August 30, 2017",outline
352,Guide for the Investigation of Constant-Level Oil Valves,Ed. 1,ULC,"September 01, 2004",
353,Standard for Limit Controls,Ed. 5,UL,"September 23, 1994",ulstd
355,Standard for Cord Reels,Ed. 10,UL,"June 25, 2004",ulstd
360,Standard for Liquid-Tight Flexible Metal Conduit,Ed. 7,UL,"January 17, 2013",ulstd
